Response,Share of respondents
Had a virtual gathering with friends/family through a video app (e.g. Zoom),28%
Play board games,26%
Had hot food delivered,23%
Played games or quizzes with friends/family virtually through an app (e.g. House Party),18%
"Streamed/watched a past event, gig or performance",17%
"Made restaurant quality food, using recipes or ingridents from restuarants",13%
"Live streamed a live event, gig or performance",11%
Purchased alcohol online to have in the house,10%
Had a 'big night in' with your household,8%
Had alcoholic drinks delivered,5%
"Recreated drinks that I would usually only purchase in pubs, bars and restaurants",4%
Taken part in a cocktail making session,2%
