Smithsonian museum or institute,Number of visits in millions
National Museum of Natural History,4.2
National Air and Space Museum,3.2
National Museum of American History,2.8
National Museum of African American History and Culture,2.0
Smithsonian American Art Museum (With the Renwick Gallery),2.0
National Zoo,1.8
National Portrait Gallery,1.7
National Air and Space Museum's Steven F. Udvar-Hazy Center,1.3
"Smithsonian Institution Building, ""The Castle""",0.97
"National Museum of the American Indian (Washington, D.C.)",0.96
Hirshhorn Museum and Sculpture Garden,0.89
National Postal Museum,0.5
National Museum of the American Indian Heye Center (New York City),0.35
Renwick Gallery of the Smithsonian American Art Museum,0.31
Freer Gallery of Art,0.3
"Cooper Hewitt, Smithsonian Design Museum",0.26
Arthur M. Sackler Gallery,0.15
S. Dillon Ripley Center,0.14
National Museum of African Art,0.13
Arts and Industries Building,0.03
Anacostia Community Museum,0.01
