Month,Number of users in millions
Sep-20,21.97
Aug-20,20.87
Jul-20,20.85
Jun-20,21.63
May-20,23.52
Apr-20,24.54
Mar-20,23.64
Feb-20,19.11
Jan-20,18.33
Dec-19,17.6
Nov-19,16.97
Oct-19,16.83
Sep-19,16.54
Aug-19,15.99
Jul-19,16.53
Jun-19,16.49
May-19,16.98
Apr-19,17.13
Mar-19,17.28
Feb-19,17.62
Jan-19,17.53
Dec-18,16.97
Nov-18,16.61
Oct-18,16.3
Sep-18,16.8
Aug-18,16.03
Jul-18,16.36
Jun-18,17.23
May-18,16.77
Apr-18,17.2
Mar-18,18.52
Feb-18,18.36
Jan-18,18.54
Dec-17,17.99
Nov-17,17.68
Oct-17,16.72
Sep-17,15.61
Aug-17,14.23
Jul-17,14.07
Jun-17,14.01
May-17,13.52
Apr-17,13.71
Mar-17,13.7
Feb-17,14.06
Jan-17,14.37
Dec-16,13.69
Nov-16,13.67
Oct-16,13.08
Sep-16,12.56
Aug-16,11.96
Jul-16,12.28
Jun-16,12.34
May-16,12.39
Apr-16,12.93
Mar-16,12.8
Feb-16,12.86
Jan-16,12.52
Dec-15,11.64
Nov-15,13.47
Oct-15,12.59
Sep-15,10.7
Aug-15,10.07
Jul-15,9.44
Jun-15,10.27
May-15,9.57
Apr-15,9.47
Mar-15,9.28
Feb-15,8.94
Jan-15,8.57
Dec-14,8.36
Nov-14,9.41
Oct-14,7.58
Sep-14,7.35
Aug-14,7.17
Jul-14,7.28
Jun-14,7.85
May-14,7.05
Apr-14,7.01
Mar-14,7.18
Feb-14,7.48
Jan-14,7.81
Dec-13,7.68
Nov-13,6.93
Oct-13,6.83
Sep-13,6.61
Aug-13,5.71
Jul-13,5.67
Jun-13,5.25
May-13,5.4
Apr-13,5.6
Mar-13,5.74
Feb-13,6.51
Jan-13,6.61
