Month,Index points
Jan 3,3.1
Jan 2,3.3
Jan 1,3.6
Dec 31,2.8
Dec 30,1.3
Dec 29,1.1
Dec 28,1.2
Dec 27,2.8
Dec 26,2.2
Dec 25,1.1
Dec 24,1.1
Dec 23,1.1
Dec 22,1.1
Dec 21,1.2
Dec 20,2.8
Dec 19,2.3
Dec 18,1.1
Dec 17,1.2
Dec 16,1.1
Dec 15,1.1
Dec 14,1.2
Dec 13,2.9
Dec 12,2.4
Dec 11,1.2
Dec 10,1.2
Dec 9,1.2
Dec 8,1.2
Dec 7,1.3
Dec 6,2.9
Dec 5,2.4
Dec 4,1.3
Dec 3,1.3
Dec 2,1.3
Dec 1,1.2
Nov 30,1.3
Nov 29,2.9
Nov 28,2.4
Nov 27,1.2
Nov 26,1.2
Nov 25,1.2
Nov 24,1.3
Nov 23,1.3
Nov 22,2.9
Nov 21,2.4
Nov 20,1.3
Nov 19,1.3
Nov 18,1.3
Nov 17,1.3
Nov 16,1.3
Nov 15,2.9
Nov 14,2.4
Nov 13,1.3
Nov 12,1.3
Nov 11,1.3
Nov 10,1.3
Nov 9,1.3
Nov 8,2.9
Nov 7,2.5
Nov 6,1.4
Nov 5,1.4
Nov 4,2.6
Nov 3,1.4
Nov 2,1.4
Nov 1,2.9
Oct 31,2.4
Oct 30,1.3
Oct 29,1.3
Oct 28,1.3
Oct 27,1.3
Oct 26,1.3
Oct 25,2.8
Oct 24,2.3
Oct 23,1.2
Oct 22,1.2
Oct 21,1.1
Oct 20,1.1
Oct 19,1.2
Oct 18,2.8
Oct 17,2.2
Oct 16,1.0
Oct 15,1.0
Oct 14,1.0
Oct 13,0.9
Oct 12,1.1
Oct 11,2.6
Oct 10,2.1
Oct 9,0.9
Oct 8,0.9
Oct 7,0.9
Oct 6,0.9
Oct 5,0.9
Oct 4,2.5
Oct 3,1.9
Oct 2,0.8
Oct 1,0.8
Sept 30,0.7
Sept 29,0.7
Sept 28,0.7
Sept 27,2.4
Sept 26,1.8
Sept 25,0.7
Sept 24,0.7
Sept 23,0.7
Sept 22,0.7
Sept 21,0.8
Sept 20,2.5
Sept 19,1.9
Sept 18,0.8
Sept 17,0.8
Sept 16,0.8
Sept 15,0.7
Sept 14,0.8
Sept 13,2.3
Sept 12,1.9
Sept 11,0.8
Sept 10,0.8
Sept 9,0.8
Sept 8,0.7
Sept 7,0.8
Sept 6,2.4
Sept 5,1.9
Sept 4,0.7
Sept 3,0.7
Sept 2,0.7
Sept 1,0.7
Aug 31,0.8
Aug 30,2.2
Aug 29,1.8
Aug 28,0.8
Aug 27,0.9
Aug 26,0.8
Aug 25,0.8
Aug 24,0.9
Aug 23,2.3
Aug 22,1.9
Aug 21,0.9
Aug 20,0.9
Aug 19,0.9
Aug 18,0.9
Aug 17,1.0
Aug 16,2.4
Aug 15,1.9
Aug 14,0.9
Aug 13,1.0
Aug 12,0.9
Aug 11,0.9
Aug 10,1.0
Aug 9,2.4
Aug 8,1.9
Aug 7,0.9
Aug 6,0.9
Aug 5,0.9
Aug 4,1.0
Aug 3,1.0
Aug 2,2.4
Aug 1,2.0
Jul 31,1.1
Jul 30,0.9
Jul 29,0.9
Jul 28,0.9
Jul 27,1.0
Jul 26,2.3
Jul 25,1.9
Jul 24,0.9
Jul 23,0.9
Jul 22,0.9
Jul 21,0.9
Jul 20,1.0
Jul 19,2.3
Jul 18,1.8
Jul 17,0.9
Jul 16,0.9
Jul 15,0.9
Jul 14,0.9
Jul 13,1.0
Jul 12,2.3
Jul 11,1.9
Jul 10,0.9
Jul 9,0.9
Jul 8,0.8
Jul 7,0.8
Jul 6,0.9
Jul 5,2.4
Jul 4,1.8
Jul 3,0.8
Jul 2,0.8
Jul 1,1.8
Jun 30,0.8
Jun 29,0.9
Jun 28,2.5
Jun 27,2.0
Jun 26,0.9
Jun 25,0.9
Jun 24,2.0
Jun 23,0.9
