Response,Share of respondents
Big data,56.7%
Master data management (MDM),53.6%
Data cleansing tools (data validation),52.1%
Monitoring,43.8%
Data exception handling,41.2%
"ETL (extract, transform, load)",34.5%
Data stewardship (management),32.5%
Metadata management,28.9%
Profiling,26.3%
Matching and consolidation,25.3%
Internationalization / Localization,24.7%
Verification,24.2%
Matching on name and address data,24.2%
Geo-coding,23.7%
"Standardization, normalization",22.7%
Transformation,22.7%
Householding,18%
Enrichment,17.5%
