Country,Index value in points
Singapore,93.63
Netherlands,89.58
Belgium,87.89
Ireland,87.81
Luxembourg,87.36
United Arab Emirates,86.9
Switzerland,86.41
Malta,86.15
Cyprus,85.77
Estonia,85.62
"Hong Kong SAR, China",84.67
Denmark,84.35
Sweden,83.59
Finland,83.09
Czech Republic,82.69
Austria,82.68
Mauritius,82.65
Slovak Republic,82.52
Hungary,81.98
Bahrain,81.96
United Kingdom,81.91
Latvia,81.54
Georgia,81.03
Germany,80.6
Portugal,80.38
Lithuania,79.54
France,79.21
Montenegro,77.88
Seychelles,77.62
Slovenia,77.48
Norway,77.31
Spain,77.29
Qatar,76.54
Malaysia,76.38
Bulgaria,75.21
Croatia,74.84
Greece,73.8
Cayman Islands,73.38
Kuwait,73.01
Poland,72.84
Serbia,72.66
Azerbaijan,72.04
Panama,71.8
Romania,71.71
Italy,71.01
Canada,70.98
Israel,70.86
"Micronesia, Fed Sts",70.49
North Macedonia,70.26
Armenia,69.98
Iceland,69.4
Jordan,69.31
Oman,69.21
Albania,68.7
Lebanon,68.63
Kiribati,68.58
Australia,67.73
Japan,67.72
United States,67.68
New Zealand,67.44
Cambodia,67.31
Brunei Darussalam,67.11
Djibouti,66.71
Chile,66.66
Thailand,66.47
Ukraine,66.01
Bermuda,64.66
Maldives,64.59
Marshall Islands,64.22
Vanuatu,64.03
Moldova,63.99
Saudi Arabia,63.99
Costa Rica,63.94
Equatorial Guinea,63.63
"Korea, Rep",63.01
Mozambique,62.8
Mongolia,62.66
Nicaragua,62.13
"Macao SAR, China",62.07
Trinidad and Tobago,62.0
Belarus,61.79
Uruguay,61.63
Jamaica,61.4
Antigua and Barbuda,61.25
Peru,61.15
Vietnam,61.06
Bosnia and Herzegovina,61.04
Mexico,60.0
St Lucia,59.9
Timor-Leste,59.68
Aruba,59.51
Morocco,59.48
Kyrgyz Republic,59.18
Papua New Guinea,58.83
Tunisia,57.92
El Salvador,57.83
Cabo Verde,57.75
Barbados,57.63
Belize,57.35
Philippines,57.22
