State,Sales in billion U.S. dollars
New York,10.29
California,7.39
Florida,7.15
Texas,6.25
Massachusetts*,5.49
Pennsylvania,4.88
Georgia,4.78
Ohio,4.42
Maryland,3.96
Michigan,3.88
New Jersey,3.48
Illinois,2.98
North Carolina,2.86
Virginia,2.29
South Carolina,1.98
Tennessee,1.81
Missouri,1.47
Oregon,1.35
Indiana,1.35
Connecticut,1.33
West Virginia,1.22
Kentucky,1.13
Arizona,1.08
Rhode Island*,0.96
Washington,0.8
Wisconsin*,0.71
Colorado,0.68
Delaware,0.65
Minnesota,0.64
Louisiana,0.52
Arkansas,0.52
Iowa,0.39
New Hampshire,0.38
Maine,0.3
Kansas,0.3
Idaho,0.29
South Dakota,0.29
Oklahoma,0.24
District of Columbia,0.21
Nebraska,0.19
Vermont,0.14
New Mexico,0.14
Montana,0.06
North Dakota,0.04
Wyoming,0.04
