Company (Country of headquarters),Multilatinas index score
Mexichem (Mexico),95.64
Cemex (Mexico),95.47
Grupo Bimbo (Mexico),86.7
Grupo Alfa (Mexico),86.28
América Móvil (Mexico),84.46
Vale (Brazil),84.44
LATAM (Chile/Brazil),82.96
Aje Group (Peru),78.63
JBS (Brazil),78.35
Arcos Dorados (Argentina),78.09
Tenaris (Argentina),77.65
Gruma (Mexico),75.66
Nemak (Mexico),73.81
Copa Airlines (Panama),71.9
Sigma (Mexico),71.56
Ternium (Argentina),71.09
Globant (Argentina),69.66
Ambev (Brazil),69.37
Gerdau (Brazil),69.17
Empresas Copec (Chile),69.16
