Month,Inflation rate
Nov '20,2%
Oct '20,2.4%
Sep '20,2.8%
Aug '20,3%
Jul '20,3.9%
Jun '20,5.7%
May '20,6.2%
Apr '20,7.4%
Mar '20,8%
Feb '20,7.5%
Jan '20,7.5%
Dec '19,6.9%
Nov '19,6.5%
Oct '19,6.1%
Sep '19,6.3%
Aug '19,7.2%
Jul '19,6.8%
Jun '19,5.7%
May '19,5%
Apr '19,3.3%
Mar '19,2.6%
Feb '19,2.1%
Jan '19,0.9%
Dec '18,0.9%
Nov '18,0.7%
Oct '18,1.8%
Sep '18,2.3%
Aug '18,2.1%
Jul '18,2.2%
Jun '18,2.7%
May '18,3%
Apr '18,4.1%
Mar '18,3.7%
Feb '18,3.4%
Jan '18,4.8%
Dec '17,5.4%
Nov '17,6%
Oct '17,5.4%
Sep '17,5%
Aug '17,4.3%
Jul '17,4.4%
Jun '17,3.7%
May '17,3.7%
Apr '17,2.8%
Mar '17,3.1%
Feb '17,3.9%
Jan '17,3.3%
Dec '16,2.5%
Nov '16,1.2%
