Year,GDP per capita in U.S. dollars
2025*,4557.83
2024*,4288.18
2023*,3951.92
2022*,3680.06
2021*,3446.53
2020*,3431.37
2019*,3356.78
2018*,3413.85
2017*,3157.11
2016*,2876.21
2015,2784.45
2014,2387.79
2013,2451.85
2012,2445.2
2011,2382.11
2010,1998.77
2009,1721.43
2008,1865.18
2007,1501.91
2006,1288.49
2005,1171.86
2004,1056.23
2003,932.76
2002,842.67
2001,783.2
2000,773.49
1999,730.51
1998,715.85
1997,668.03
1996,606.11
1995,581.14
1994,494.13
1993,480.27
1992,451.7
1991,455.21
1990,524.93
1989,493.32
1988,506.51
1987,456.24
1986,389.91
1985,356.03
