NAICS category,Number of jobs
Health care and social assistance,37875
Retail trade,28025
Construction,24190
Public administration,20425
Educational services,19185
Accommodation and food services,15520
Other services (except public administration),11090
Transportation and warehousing,9515
Manufacturing,7770
Finance and insurance,7765
"Professional, scientific and technical services",7750
"Administrative and support, waste management and remediation services",6990
"Mining, quarrying, and oil and gas extraction",6860
Wholesale trade,6450
Real estate and rental and leasing,3235
Utilities,3070
Information and cultural industries,2995
"Agriculture, forestry, fishing and hunting",2800
"Arts, entertainment and recreation",2650
Holding companies,790
