Year,Million vehicles
2012,15.8
2011,13.48
2010,12.16
2009,8.76
2008,12.92
2007,15.43
2006,15.88
2005,16.32
2004,16.22
2003,16.22
2002,16.72
2001,15.82
2000,17.66
1999,17.62
1998,16.03
1997,16.06
1996,15.45
1995,15.34
1994,15.68
1993,14.19
1992,12.74
1991,11.66
1990,12.53
1989,13.46
1988,13.71
1987,12.94
1986,13.51
1985,14.03
1984,13.12
1983,11.05
1982,8.69
1981,9.82
1980,9.87
1979,13.55
1978,15.1
1977,14.75
1976,13.46
1975,10.77
1974,11.89
1973,14.54
1972,13.0
1971,12.23
1970,9.64
1969,11.7
1968,12.11
1967,10.06
1966,11.38
1965,12.08
1964,10.0
1963,9.8
1962,8.76
1961,7.09
1960,8.34
1959,7.15
1958,5.51
1957,7.66
1956,7.42
1955,9.67
1954,6.92
1953,7.86
1952,6.04
1951,7.21
