Industry,Real value added in billion chained (2012) U.S. dollars
"Mining, quarrying, and oil and gas extraction",9.8
Government and government enterprises,5.53
"Finance, insurance, real estate, rental, and leasing",4.76
Transportation and warehousing,3.39
Manufacturing,2.4
Retail trade,2.0
Professional and business services,1.89
"Educational services, health care, and social assistance",1.73
Construction,1.69
"Arts, entertainment, recreation, accommodation, and food services",1.37
Wholesale trade,1.34
"Agriculture, forestry, fishing, and hunting",1.08
Utilities,0.9
Information,0.74
