profession,Career Bliss rating
Software Quality Assurance Engineer,4.25
Executive Chef,4.15
Property Manager,4.15
Teller,4.14
Warehouse Manager,4.13
Administrative Assistant,4.11
Customer Service Representative,4.06
Accountant,4.05
System Engineer,4.02
Construction Manager,4.01
Human Resources Manager,4.01
Field Service Technician,4.01
Process Engineer,4.01
Financial Analyst,3.99
Software Engineer,3.97
Director of Operations,3.96
Loan Officer,3.96
Electrician,3.95
Machine Operator,3.95
System Administrator,3.93
