Response,Share of respondents
Assessments performed by internal audit function,68%
Internal self-assessments by IR or information security function,64%
Assessment by external party,56%
Monitoring and evaluation of security incidents and events,48%
In conjunction with the external financial statement audit,35%
Benchmarking against peers/competition,27%
Evaluation of information security operational performance,19%
Formal certification to external security standards (e.g. ISO/IEC 27001:2005),15%
Formal certification to industry security standards (e.g. Payment Card Industry Data Security Standards),15%
Evaluation of information security costs,14%
Evaluation of return of investment (or similar such ROSI) performance,5%
No assessments performed,4%
