State,Change in support
Nevada,43.9%
Oregon,43.4%
Colorado,42.2%
Washington,39%
Utah,38.2%
California,37.2%
South Carolina,34.2%
Tennessee,33.9%
Hawaii,32.6%
Georgia,31.3%
Idaho,29.9%
Florida,29.3%
Virginia,26%
Rhode Island,23.6%
"Washington, DC",22.9%
Alabama,20.6%
New Jersey,20.3%
Maryland,18.6%
North Carolina,18.6%
Minnesota,17.6%
Maine,17.2%
Texas,16.8%
South Dakota,15.3%
Massachusetts,15.1%
New Hampshire,13.7%
Ohio,12.4%
Indiana,11.1%
New York,10.8%
Michigan,10.7%
Pennsylvania,10.5%
Nebraska,9.5%
Delaware,9%
Montana,8.7%
Louisiana,8.5%
Vermont,7.5%
Arizona,5.7%
Kansas,5.7%
Illinois,4.8%
West Virginia,4.1%
Wyoming,3.4%
Arkansas,3.2%
Connecticut,2.4%
Missouri,2.3%
New Mexico,1.4%
Wisconsin,1%
Iowa,0.5%
Kentucky,-1.9%
Mississippi,-5.2%
North Dakota,-7.3%
Oklahoma,-18.6%
Alaska,-21.9%
