sources,Revenue in billion U.S. dollars
Tuition and fees,81.3
Federal Grants and contracts,29.53
State Grants and contracts,8.8
Local and private Grants and contracts,14.19
Sales and services of auxiliary enterprises,29.99
Sales and services of hospitals,53.56
Independent operations,1.81
Other operating revenues,22.7
Federal Appropriations,2.04
State Appropriations,72.89
Local Appropriations,13.4
Federal Nonoperating grants,20.9
State Nonoperating grants,5.65
Local Nonoperating grants,0.38
Gifts,9.1
Investment return (gain or loss),16.92
Other nonoperating revenues,7.41
Capital appropriations,6.34
Capital grants and gifts,4.01
Additions to permanent endowments,1.36
Other revenues and additions,7.58
