Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",123.68
Professional and business services,100.25
"Educational services, health care, and social assistance",88.0
Manufacturing,86.25
Government and government enterprises,64.91
Information,57.2
Wholesale trade,38.88
Retail trade,38.33
Transportation and warehousing,27.06
"Mining, quarrying, and oil and gas extraction",26.86
Construction,25.88
"Arts, entertainment, recreation, accommodation, and food services",23.32
Utilities,10.73
"Agriculture, forestry, fishing, and hunting",4.89
