Year,GDP per capita in U.S. dollars
2025*,25441.14
2024*,24633.75
2023*,23526.98
2022*,22143.09
2021*,20520.69
2020*,18168.34
2019,19569.53
2018,20317.89
2017,18899.83
2016,18110.7
2015,18114.72
2014,21726.89
2013,21805.26
2012,22171.91
2011,25896.93
2010,26972.87
2009,29819.23
2008,32198.01
2007,28899.95
2006,24857.21
2005,22624.07
2004,22007.85
2003,18530.22
2002,14171.84
2001,12577.02
2000,12268.25
1999,13901.67
1998,13526.69
1997,13484.14
1996,13776.7
1995,12997.52
1994,11122.87
1993,10451.75
1992,11234.16
1991,10282.86
1990,9679.32
1989,7879.21
1988,7632.64
1987,6577.88
1986,5670.97
1985,4832.49
