Month,Price in British pounds per head
Nov '19,0.41
Oct '19,0.4
Sep '19,0.41
Aug '19,0.37
Jul '19,0.35
Jun '19,0.33
May '19,0.32
Apr '19,0.33
Mar '19,0.36
Feb '19,0.43
Jan '19,0.4
Dec '18,0.38
Nov '18,0.33
Oct '18,0.34
Sep '18,0.41
Aug '18,0.46
Jul '18,0.4
Jun '18,0.32
May '18,0.34
Apr '18,0.32
Mar '18,0.33
Feb '18,0.35
Jan '18,0.34
Dec '17,0.33
Nov '17,0.34
Oct '17,0.32
Sep '17,0.34
Aug '17,0.32
Jul '17,0.3
Jun '17,0.33
May '17,0.34
Apr '17,0.39
Mar '17,0.42
Feb '17,0.54
Jan '17,0.44
Dec '16,0.35
Nov '16,0.35
Oct '16,0.33
Sep '16,0.35
Aug '16,0.35
Jul '16,0.31
Jun '16,0.31
May '16,0.34
Apr '16,0.35
Mar '16,0.34
Feb '16,0.36
Jan '16,0.35
Dec '15,0.32
Nov '15,0.3
Oct '15,0.3
Sep '15,0.31
Aug '15,0.31
Jul '15,0.31
Jun '15,0.3
May '15,0.31
Apr '15,0.31
Mar '15,0.32
Feb '15,0.33
Jan '15,0.33
