Month/day/year,Index points
12/14/2020,12595.06
12/7/2020,12377.87
11/30/2020,12464.23
11/23/2020,12205.85
11/16/2020,11854.97
11/9/2020,11829.29
11/2/2020,11895.23
10/25/2020,10911.59
10/18/2020,11548.28
10/11/2020,11671.56
10/4/2020,11579.94
9/30/2020,11154.6
9/23/2020,11085.25
9/16/2020,10910.28
9/9/2020,11190.32
9/2/2020,10847.69
8/26/2020,11939.67
8/19/2020,11466.47
8/12/2020,11210.84
8/5/2020,10782.82
7/29/2020,10941.17
7/22/2020,10402.09
7/15/2020,10680.36
7/8/2020,10488.58
7/1/2020,10343.89
6/24/2020,10058.77
6/17/2020,10131.37
6/10/2020,9895.87
6/3/2020,9953.75
5/27/2020,9608.38
5/20/2020,9340.22
5/13/2020,9185.1
5/6/2020,9002.55
4/29/2020,8914.71
4/22/2020,8607.73
4/15/2020,8393.18
4/8/2020,8515.74
4/1/2020,7887.26
3/25/2020,7384.29
3/18/2020,7417.86
3/11/2020,7334.78
3/4/2020,8344.25
2/26/2020,8684.09
2/19/2020,8965.61
2/12/2020,9732.74
2/5/2020,9638.94
1/29/2020,9467.97
1/22/2020,9269.68
1/15/2020,9370.81
1/8/2020,9251.33
1/1/2020,9068.58
