Country: Movie title,Number of viewers in thousands
Argentina : La odisea de los giles,1741.24
Bolivia : No manches Frida 2,33.93
Brazil : Nada a perder - Parte 2,6136.97
Chile: Mi amigo Alexis,144.67
Colombia : El paseo 5,458.87
Costa Rica: Maikol Yordan 2,85.14
Ecuador: Rock N' Cola,300.12
El Salvador : El parque mágico,19.47
Guatemala : El parque mágico,21.94
Honduras : Taxi VIP,44.43
Mexico : No manches Frida 2,6651.11
Nicaragua: Nada a perder - Parte 2,9.37
Panama : Locos Al Poder,45.61
Paraguay : Morgue,59.22
Peru : Once machos 2,655.47
Uruguay : La odisea de los giles,115.31
