State,Average size of household
Utah,3.08
Hawaii,2.95
California,2.94
Texas,2.84
Alaska,2.79
Georgia,2.69
Idaho,2.68
Arizona,2.67
Nevada,2.66
Florida,2.66
Maryland,2.65
New Jersey,2.65
Mississippi,2.62
United States,2.61
Louisiana,2.6
Virginia,2.6
New Mexico,2.59
Oklahoma,2.57
Washington,2.55
Illinois,2.54
New York,2.54
South Carolina,2.54
Indiana,2.52
North Carolina,2.52
Delaware,2.52
Alabama,2.52
Arkansas,2.52
Colorado,2.52
Connecticut,2.51
Tennessee,2.51
Massachusetts,2.51
Rhode Island,2.5
Oregon,2.5
Kansas,2.49
Kentucky,2.48
Minnesota,2.48
Michigan,2.46
New Hampshire,2.44
Nebraska,2.44
Missouri,2.43
Pennsylvania,2.42
Wyoming,2.42
Ohio,2.4
West Virginia,2.4
South Dakota,2.4
Iowa,2.38
Wisconsin,2.38
Montana,2.38
District of Columbia,2.29
Maine,2.28
Vermont,2.28
North Dakota,2.28
