Year,Population in thousands
2020,10423.06
2019,10473.45
2018,10522.24
2017,10569.45
2016,10615.18
2015,10659.74
2014,10701.46
2013,10740.5
2012,10781.12
2011,10829.07
2010,10887.64
2009,10959.27
2008,11040.31
2007,11120.37
2006,11185.23
2005,11224.8
2004,11234.99
2003,11218.88
2002,11182.31
2001,11134.45
2000,11082.1
1999,11027.9
1998,10970.12
1997,10906.25
1996,10832.14
1995,10745.5
1994,10644.94
1993,10533.81
1992,10420.23
1991,10315.11
1990,10225.99
1989,10155.72
1988,10101.35
1987,10057.29
1986,10015.12
1985,9968.23
1984,9916.48
1983,9860.73
1982,9796.83
1981,9719.84
1980,9627.0
1979,9515.74
1978,9388.72
1977,9254.98
1976,9127.06
1975,9014.09
1974,8919.25
1973,8840.31
1972,8774.51
1971,8716.87
1970,8663.57
1969,8614.04
1968,8569.14
1967,8528.03
1966,8489.87
1965,8453.82
1964,8419.3
1963,8385.44
1962,8350.88
1961,8314.01
1960,8273.63
1959,8229.11
1958,8180.31
1957,8127.48
1956,8070.96
1955,8011.13
1954,7948.28
1953,7882.6
1952,7814.17
1951,7742.94
1950,7668.79
1949,7620.0
1948,7580.0
1947,7550.0
1946,7530.0
1945,7500.0
1944,7470.0
1943,7440.0
1942,7410.0
1941,7370.0
1940,7310.0
1939,7240.0
1938,7160.0
1937,7060.0
1936,6960.0
1935,6870.0
1934,6780.0
1933,6680.0
1932,6590.0
1931,6510.0
1930,6430.0
1929,6350.0
1928,6280.0
1927,6210.0
1926,6140.0
1925,6080.0
1924,6010.0
1923,5950.0
1922,5880.0
1921,5830.0
1920,5770.0
1919,5720.0
1918,5680.0
1917,5640.0
1916,5600.0
1915,5560.0
1914,5520.0
1913,5480.0
1912,5440.0
1911,5410.0
1910,5370.0
1909,5330.0
1908,5290.0
1907,5250.0
1906,5220.0
1905,5180.0
1904,5140.0
1903,5110.0
1902,5070.0
1901,5030.0
1900,4990.0
1899,4950.0
1898,4900.0
1897,4850.0
1896,4800.0
1895,4750.0
1894,4700.0
1893,4650.0
1892,4600.0
1891,4560.0
1890,4510.0
1889,4460.0
1888,4420.0
1887,4370.0
1886,4330.0
1885,4280.0
1884,4240.0
1883,4200.0
1882,4150.0
1881,4110.0
1880,4070.0
1879,4030.0
1878,3980.0
1877,3940.0
1876,3900.0
1875,3860.0
1874,3820.0
1873,3780.0
1872,3740.0
1871,3710.0
1870,3670.0
1869,3630.0
1868,3600.0
1867,3570.0
1866,3530.0
1865,3500.0
1864,3470.0
1863,3440.0
1862,3400.0
1861,3370.0
1860,3340.0
1859,3310.0
1858,3280.0
1857,3250.0
1856,3220.0
1855,3190.0
1854,3160.0
1853,3130.0
1852,3100.0
1851,3070.0
1850,3040.0
1849,3020.0
1848,2990.0
1847,2960.0
1846,2930.0
1845,2910.0
1844,2880.0
1843,2850.0
1842,2830.0
1841,2800.0
1840,2780.0
1839,2750.0
1838,2730.0
1837,2700.0
1836,2680.0
1835,2650.0
1834,2630.0
1833,2600.0
1832,2580.0
1831,2560.0
1830,2530.0
1829,2510.0
1828,2490.0
1827,2470.0
1826,2440.0
1825,2420.0
1824,2400.0
1823,2380.0
1822,2350.0
1821,2340.0
1820,2320.0
1819,2310.0
1818,2310.0
1817,2300.0
1816,2300.0
1815,2300.0
1814,2290.0
1813,2290.0
1812,2290.0
1811,2280.0
1810,2280.0
1809,2280.0
1808,2270.0
1807,2270.0
1806,2270.0
1805,2270.0
1804,2260.0
1803,2260.0
1802,2260.0
1801,2250.0
1800,2250.0
