Month,Number of days
Jun '20,1.3
May '20,3.1
Apr '20,5.2
Mar '20,8.7
Feb '20,9.1
Jan '20,8.8
Dec '19,9.5
Nov '19,9.0
Oct '19,5.4
Sep '19,1.4
Aug '19,0.2
Jul '19,0.1
Jun '19,1.6
May '19,4.3
Apr '19,6.4
Mar '19,7.6
Feb '19,8.6
Jan '19,11.3
Dec '18,8.7
Nov '18,7.3
Oct '18,4.9
Sep '18,2.1
Aug '18,0.5
Jul '18,0.0
Jun '18,0.5
May '18,2.8
Apr '18,6.0
Mar '18,10.6
Feb '18,12.4
Jan '18,10.2
Dec '17,10.4
Nov '17,8.5
Oct '17,3.2
Sep '17,2.1
Aug '17,0.5
Jul '17,0.1
Jun '17,0.7
May '17,2.9
Apr '17,6.5
Mar '17,7.0
Feb '17,9.3
Jan '17,11.2
Dec '16,9.0
Nov '16,9.7
Oct '16,4.6
Sep '16,0.7
Aug '16,0.1
Jul '16,0.4
Jun '16,0.9
May '16,3.4
Apr '16,8.0
Mar '16,9.4
Feb '16,10.4
Jan '16,9.8
Dec '15,6.0
Nov '15,6.0
Oct '15,4.6
Sep '15,2.8
Aug '15,0.4
Jul '15,0.7
Jun '15,1.9
May '15,4.6
Apr '15,6.4
Mar '15,9.2
Feb '15,11.2
Jan '15,10.7
Dec '14,10.0
Nov '14,7.1
Oct '14,3.3
Sep '14,0.9
Aug '14,0.8
Jul '14,0.1
Jun '14,0.6
May '14,3.3
Apr '14,5.4
Mar '14,7.9
Feb '14,9.2
Jan '14,9.9
