Year,GDP per capita in U.S. dollars
2025*,3217.92
2024*,3045.35
2023*,2882.05
2022*,2732.01
2021*,2570.76
2020*,2281.42
2019*,2229.56
2018*,2254.1
2017*,2066.85
2016*,1971.62
2015,1932.22
2014,1528.19
2013,1388.02
2012,1220.33
2011,1199.68
2010,1193.21
2009,1194.38
2008,1222.77
2007,1053.56
2006,945.85
2005,931.41
2004,925.95
2003,878.42
2002,726.99
2001,676.15
2000,664.26
1999,787.07
1998,822.89
1997,784.72
1996,833.76
1995,776.95
1994,604.25
1993,826.89
1992,917.39
1991,897.08
1990,960.02
1989,903.1
1988,981.95
1987,980.7
1986,926.03
1985,719.03
