Month,Rent in U.S. dollars
Feb 20,1468
Jan 20,1463
Dec 19,1474
Nov 19*,1475
Oct 19,1476
Sep 19,1471
Aug 19,1472
Jul 19,1470
Jun 19,1466
May 19,1457
Apr 19,1449
Mar 19,1440
Feb 19,1431
Jan 19,1430
Dec 18,1429
Nov 18,1428
Oct 18,1427
Sep 18,1426
Aug 18,1424
Jul 18,1421
Jun 18,1418
May 18,1409
Apr 18,1401
Mar 18,1392
Feb 18,1383
Jan 18,1382
Dec 17,1381
Nov 17,1380
Oct 17,1380
Sep 17,1380
Aug 17,1380
Jul 17,1379
Jun 17,1378
May 17,1370
Apr 17,1362
Mar 17,1354
Feb 17,1346
Jan 17,1347
Dec 16,1347
Nov 16,1348
Oct 16,1350
Sep 16,1348
