Month,Construction output index
Aug '19,108.9
Jul '19,108.7
Jun '19,106.7
May '19,107.9
Apr '19,107.7
Mar '19,108.5
Feb '19,109.9
Jan '19,107.8
Dec '18,105.6
Nov '18,107.6
Oct '18,107.8
Sep '18,107.5
Aug '18,106.3
Jul '18,106.6
Jun '18,106.6
May '18,105.7
Apr '18,104.4
Mar '18,103.1
Feb '18,105.0
Jan '18,106.3
Dec '17,109.2
Nov '17,106.6
Oct '17,104.3
Sep '17,106.1
Aug '17,106.5
Jul '17,105.1
Jun '17,105.4
May '17,105.5
Apr '17,106.0
Mar '17,105.9
Feb '17,105.0
Jan '17,105.7
Dec '16,103.6
Nov '16,101.0
Oct '16,100.5
Sep '16,100.7
Aug '16,100.3
Jul '16,100.4
Jun '16,99.3
May '16,99.8
Apr' 16,100.1
Mar ´16,97.5
Feb '16,98.6
Jan '16,98.2
Dec '15,98.4
Nov '15,96.3
Oct '15,96.5
Sep '15,95.2
Aug '15,95.1
Jul '15,96.6
Jun '15,95.8
May '15,96.6
Apr '15,97.1
Mar '15,96.3
Feb '15,95.0
Jan '15,95.7
