Year,Number of deaths
3/7/20,0
3/8/20,0
3/9/20,0
3/10/20,0
3/11/20,1
3/12/20,0
3/13/20,0
3/14/20,2
3/15/20,4
3/16/20,8
3/17/20,8
3/18/20,20
3/19/20,24
3/20/20,47
3/21/20,44
3/22/20,49
3/23/20,82
3/24/20,95
3/25/20,124
3/26/20,186
3/27/20,218
3/28/20,273
3/29/20,291
3/30/20,325
3/31/20,385
4/1/20,447
4/2/20,498
4/3/20,498
4/4/20,511
4/5/20,578
4/6/20,575
4/7/20,599
4/8/20,569
4/9/20,561
4/10/20,539
4/11/20,542
4/12/20,572
4/13/20,570
4/14/20,509
4/15/20,455
4/16/20,412
4/17/20,384
4/18/20,390
4/19/20,399
4/20/20,363
4/21/20,323
4/22/20,311
4/23/20,331
4/24/20,314
4/25/20,264
4/26/20,246
4/27/20,269
4/28/20,229
4/29/20,237
4/30/20,224
5/1/20,210
5/2/20,190
5/3/20,177
5/4/20,158
5/5/20,151
5/6/20,151
5/7/20,142
5/8/20,131
5/9/20,99
5/10/20,103
5/11/20,104
5/12/20,90
5/13/20,83
5/14/20,70
5/15/20,86
5/16/20,83
5/17/20,77
5/18/20,59
5/19/20,55
5/20/20,79
5/21/20,45
5/22/20,65
5/23/20,60
5/24/20,49
5/25/20,47
5/26/20,38
5/27/20,49
5/28/20,38
5/29/20,43
5/30/20,52
5/31/20,39
6/1/20,35
6/2/20,37
6/3/20,43
6/4/20,33
6/5/20,28
6/6/20,34
6/7/20,25
6/8/20,39
6/9/20,31
6/10/20,32
6/11/20,21
6/12/20,23
6/13/20,15
6/14/20,24
6/15/20,20
6/16/20,17
6/17/20,19
6/18/20,17
6/19/20,15
6/20/20,18
6/21/20,24
6/22/20,18
6/23/20,20
6/24/20,19
6/25/20,15
6/26/20,18
6/27/20,14
6/28/20,13
6/29/20,17
6/30/20,17
7/1/20,10
7/2/20,17
7/3/20,13
7/4/20,7
7/5/20,10
7/6/20,12
7/7/20,8
7/8/20,15
7/9/20,7
7/10/20,6
7/11/20,9
7/12/20,6
7/13/20,15
7/14/20,10
7/15/20,12
7/16/20,7
7/17/20,12
7/18/20,9
7/19/20,7
7/20/20,8
7/21/20,7
7/22/20,7
7/23/20,9
7/24/20,6
7/25/20,11
7/26/20,8
7/27/20,4
7/28/20,12
7/29/20,5
7/30/20,4
7/31/20,3
8/1/20,6
8/2/20,2
8/3/20,3
8/4/20,4
8/5/20,7
8/6/20,5
8/7/20,3
8/8/20,4
8/9/20,3
8/10/20,6
8/11/20,4
8/12/20,1
8/13/20,3
8/14/20,3
8/15/20,6
8/16/20,5
8/17/20,5
8/18/20,1
8/19/20,1
8/20/20,7
8/21/20,3
8/22/20,5
8/23/20,3
8/24/20,8
8/25/20,4
8/26/20,6
8/27/20,1
8/28/20,5
8/29/20,2
8/30/20,4
8/31/20,1
9/1/20,3
9/2/20,4
9/3/20,5
9/4/20,5
9/5/20,3
9/6/20,7
9/7/20,1
9/8/20,2
9/9/20,2
9/10/20,4
9/11/20,4
9/12/20,4
9/13/20,3
9/14/20,5
9/15/20,3
9/16/20,6
9/17/20,5
9/18/20,3
9/19/20,5
9/20/20,5
9/21/20,3
9/22/20,3
9/23/20,4
9/24/20,3
9/25/20,4
9/26/20,6
9/27/20,2
9/28/20,3
9/29/20,7
9/30/20,8
10/1/20,5
10/2/20,3
10/3/20,5
10/4/20,7
10/5/20,0
10/6/20,3
10/7/20,4
10/8/20,6
10/9/20,2
10/10/20,4
10/11/20,7
10/12/20,8
10/13/20,4
10/14/20,6
10/15/20,8
10/16/20,6
10/17/20,6
10/18/20,4
10/19/20,7
10/20/20,5
10/21/20,5
10/22/20,3
10/23/20,4
10/24/20,1
10/25/20,9
10/26/20,4
10/27/20,8
10/28/20,4
10/29/20,4
10/30/20,10
10/31/20,4
11/1/20,12
11/2/20,11
11/3/20,12
11/4/20,8
11/5/20,9
11/6/20,10
11/7/20,13
11/8/20,7
11/9/20,4
11/10/20,7
11/11/20,9
11/12/20,16
11/13/20,5
11/14/20,9
11/15/20,14
11/16/20,9
11/17/20,10
11/18/20,10
11/19/20,9
11/20/20,7
11/21/20,11
11/22/20,10
11/23/20,13
11/24/20,16
11/25/20,13
11/26/20,7
11/27/20,15
11/28/20,13
11/29/20,15
11/30/20,18
12/1/20,20
12/2/20,27
12/3/20,18
12/4/20,24
12/5/20,23
12/6/20,20
12/7/20,18
12/8/20,22
12/9/20,27
12/10/20,25
12/11/20,30
12/12/20,34
12/13/20,25
12/14/20,30
12/15/20,32
12/16/20,37
12/17/20,34
12/18/20,39
12/19/20,30
12/20/20,29
12/21/20,41
12/22/20,49
12/23/20,38
12/24/20,39
12/25/20,36
12/26/20,33
12/27/20,38
12/28/20,36
12/29/20,35
12/30/20,22
12/31/20,28
1/1/21,19
