Month,Stock price in euros
"Jan 8, 2021",49.35
"Jan 7, 2021",49.1
"Jan 6, 2021",49.32
"Jan 5, 2021",49.04
"Jan 4, 2021",49.41
"Dec 31, 2020",49.57
"Dec 30, 2020",49.76
"Dec 29, 2020",49.25
"Dec 28, 2020",48.58
"Dec 24, 2020",47.83
"Dec 23, 2020",47.72
"Dec 22, 2020",47.5
"Dec 21, 2020",46.86
"Dec 18, 2020",47.92
"Dec 17, 2020",48.0
"Dec 16, 2020",48.5
"Dec 15, 2020",47.52
"Dec 14, 2020",47.84
"Dec 11, 2020",48.22
"Dec 10, 2020",48.07
"Dec 9, 2020",48.14
"Dec 8, 2020",48.02
"Dec 7, 2020",47.66
"Dec 4, 2020",48.0
"Dec 3, 2020",47.44
"Dec 2, 2020",48.5
"Dec 1, 2020",49.35
"Nov 30, 2020",50.82
"Nov 27, 2020",50.26
"Nov 26, 2020",50.96
"Nov 25, 2020",51.02
"Nov 24, 2020",48.5
"Nov 23, 2020",48.66
"Nov 20, 2020",49.66
"Nov 19, 2020",49.55
"Nov 18, 2020",50.32
"Nov 17, 2020",50.64
"Nov 16, 2020",51.48
"Nov 13, 2020",52.58
"Nov 12, 2020",52.96
"Nov 11, 2020",53.22
"Nov 10, 2020",52.02
"Nov 9, 2020",52.22
"Nov 6, 2020",51.58
"Nov 5, 2020",51.38
"Nov 4, 2020",51.34
"Nov 3, 2020",50.32
"Nov 2, 2020",49.37
"Oct 30, 2020",48.55
"Oct 29, 2020",49.05
"Oct 28, 2020",49.71
"Oct 27, 2020",51.3
"Oct 26, 2020",50.6
"Oct 23, 2020",51.1
"Oct 22, 2020",51.52
"Oct 21, 2020",51.46
"Oct 20, 2020",52.2
"Oct 19, 2020",52.1
"Oct 16, 2020",52.64
"Oct 15, 2020",52.26
"Oct 14, 2020",53.12
"Oct 13, 2020",52.94
"Oct 12, 2020",52.9
"Oct 9, 2020",52.7
"Oct 8, 2020",51.82
"Oct 7, 2020",51.78
"Oct 6, 2020",51.84
"Oct 5, 2020",52.34
"Oct 2, 2020",52.4
"Oct 1, 2020",51.72
"Sep 30, 2020",51.5
"Sep 29, 2020",51.7
"Sep 28, 2020",52.18
"Sep 25, 2020",51.04
"Sep 24, 2020",50.58
"Sep 23, 2020",50.96
"Sep 22, 2020",50.56
"Sep 21, 2020",49.84
"Sep 18, 2020",50.98
"Sep 17, 2020",52.02
"Sep 16, 2020",52.08
"Sep 15, 2020",52.0
"Sep 14, 2020",51.42
"Sep 11, 2020",51.58
"Sep 10, 2020",51.2
"Sep 9, 2020",51.48
"Sep 8, 2020",49.69
"Sep 7, 2020",49.54
"Sep 4, 2020",48.82
"Sep 3, 2020",49.83
"Sep 2, 2020",49.95
"Sep 1, 2020",48.69
"Aug 31, 2020",48.51
"Aug 28, 2020",48.98
"Aug 27, 2020",50.02
"Aug 26, 2020",49.71
"Aug 25, 2020",49.47
"Aug 24, 2020",49.73
"Aug 21, 2020",49.16
"Aug 20, 2020",49.42
"Aug 19, 2020",49.58
"Aug 18, 2020",49.03
"Aug 17, 2020",49.41
"Aug 14, 2020",49.5
"Aug 13, 2020",49.84
"Aug 12, 2020",49.99
"Aug 11, 2020",49.02
"Aug 10, 2020",49.46
"Aug 7, 2020",49.28
"Aug 6, 2020",49.89
"Aug 5, 2020",50.72
"Aug 4, 2020",51.02
"Aug 3, 2020",51.16
"Jul 31, 2020",50.08
"Jul 30, 2020",50.82
"Jul 29, 2020",51.74
"Jul 28, 2020",51.1
"Jul 27, 2020",50.7
"Jul 24, 2020",50.54
"Jul 23, 2020",50.5
"Jul 22, 2020",46.86
"Jul 21, 2020",47.54
"Jul 20, 2020",47.3
"Jul 17, 2020",47.4
"Jul 16, 2020",46.99
"Jul 15, 2020",47.45
"Jul 14, 2020",46.8
"Jul 13, 2020",46.88
"Jul 10, 2020",46.28
"Jul 9, 2020",46.44
"Jul 8, 2020",46.66
"Jul 7, 2020",46.92
"Jul 6, 2020",47.56
"Jul 3, 2020",47.36
"Jul 2, 2020",48.46
"Jul 1, 2020",47.48
"Jun 30, 2020",47.25
"Jun 29, 2020",47.83
"Jun 26, 2020",49.07
"Jun 25, 2020",48.75
"Jun 24, 2020",48.82
"Jun 23, 2020",49.51
"Jun 22, 2020",49.5
"Jun 19, 2020",50.5
"Jun 18, 2020",49.25
"Jun 17, 2020",49.54
"Jun 16, 2020",48.68
"Jun 15, 2020",46.98
"Jun 12, 2020",47.33
"Jun 11, 2020",47.39
"Jun 10, 2020",47.16
"Jun 9, 2020",46.85
"Jun 8, 2020",47.4
"Jun 5, 2020",47.85
"Jun 4, 2020",47.25
"Jun 3, 2020",47.52
"Jun 2, 2020",46.62
"Jun 1, 2020",46.66
"May 29, 2020",46.49
"May 28, 2020",46.23
"May 27, 2020",45.17
"May 26, 2020",44.4
"May 25, 2020",44.88
"May 22, 2020",44.05
"May 21, 2020",44.28
"May 20, 2020",44.48
"May 19, 2020",44.34
"May 18, 2020",45.23
"May 15, 2020",44.33
"May 14, 2020",44.35
"May 13, 2020",45.45
"May 12, 2020",45.87
"May 11, 2020",45.47
"May 8, 2020",45.0
"May 7, 2020",44.7
"May 6, 2020",43.94
"May 5, 2020",44.45
"May 4, 2020",44.36
"Apr 30, 2020",45.58
"Apr 29, 2020",45.32
"Apr 28, 2020",45.18
"Apr 27, 2020",45.39
"Apr 24, 2020",45.27
"Apr 23, 2020",45.9
"Apr 22, 2020",46.7
"Apr 21, 2020",46.13
"Apr 20, 2020",47.67
"Apr 17, 2020",45.68
"Apr 16, 2020",45.8
"Apr 15, 2020",45.99
"Apr 14, 2020",46.68
"Apr 9, 2020",45.69
"Apr 8, 2020",45.5
"Apr 7, 2020",46.01
"Apr 6, 2020",45.71
"Apr 3, 2020",44.25
"Apr 2, 2020",44.51
"Apr 1, 2020",43.78
"Mar 31, 2020",44.81
"Mar 30, 2020",43.75
"Mar 27, 2020",42.61
"Mar 26, 2020",43.24
"Mar 25, 2020",42.47
"Mar 24, 2020",42.2
"Mar 23, 2020",41.92
"Mar 20, 2020",44.8
"Mar 19, 2020",45.6
"Mar 18, 2020",43.45
"Mar 17, 2020",43.23
"Mar 16, 2020",40.29
"Mar 13, 2020",42.22
"Mar 12, 2020",42.75
"Mar 11, 2020",46.05
"Mar 10, 2020",45.83
"Mar 9, 2020",47.05
"Mar 6, 2020",49.05
"Mar 5, 2020",50.83
"Mar 4, 2020",50.4
"Mar 3, 2020",49.33
"Mar 2, 2020",48.53
"Feb 28, 2020",47.62
"Feb 27, 2020",49.87
"Feb 26, 2020",51.16
"Feb 25, 2020",51.52
"Feb 24, 2020",52.34
"Feb 21, 2020",53.92
"Feb 20, 2020",54.05
"Feb 19, 2020",54.86
"Feb 18, 2020",55.05
"Feb 17, 2020",55.0
"Feb 14, 2020",54.85
"Feb 13, 2020",54.7
"Feb 12, 2020",54.78
"Feb 11, 2020",54.75
"Feb 10, 2020",54.52
"Feb 7, 2020",54.51
"Feb 6, 2020",54.42
"Feb 5, 2020",53.97
"Feb 4, 2020",53.19
"Feb 3, 2020",52.97
"Jan 31, 2020",52.7
"Jan 30, 2020",52.45
"Jan 29, 2020",51.49
"Jan 28, 2020",51.88
"Jan 27, 2020",51.33
"Jan 24, 2020",51.86
"Jan 23, 2020",50.94
"Jan 22, 2020",51.11
"Jan 21, 2020",51.16
"Jan 20, 2020",51.04
