Sector,Average annual wage in euros
Mining and quarrying,82940
Financial institutions,62200
Electricity and gas supply,62030
Information and communication,52700
Other specialized business services,51000
Public administration and services,47530
Water supply and waste management,45880
Manufacturing,44990
Construction,44080
"Renting, buying, selling real estate",42440
Transportation and storage,38340
Education,37990
Health and social work activities,29770
Other service activities,29390
Wholesale and retail trade,26830
"Agriculture, forestry and fishing",24000
"Culture, sports and recreation",23590
Renting and other business support,22580
Accommodation and food serving,13650
