public library,Number of visits
"New York Public Library, The Branch Libraries, NY",18162641
"Los Angeles Public Library, CA",13821289
"Queens Borough Public Library, NY",12881000
"Brooklyn Public Library, NY",12024071
"County of Los Angeles Public Library, CA",11832995
"Chicago Public Library, IL",11182193
"King County Library System, WA",10156339
"Broward County Libraries Division, FL",8749429
"Wake County Public Libraries, NC",7931842
"Cuyahoga County Public Library, OH",7799480
"Public Library of Cincinnati & Hamilton County, OH",7395284
"Columbus Metropolitan Library, OH",7359664
"San Francisco Public Library, CA",7248424
"Miami-Dade Public Library System, FL",6762294
"Las Vegas-Clark County Library District, NV",6673789
"Seattle Public Library, WA",6470116
"Palm Beach County Library System, FL",6313598
"San Jose Public Library, CA",6168223
"Free Library of Philadelphia, PA",5961777
"San Diego County Library, CA",5920891
"Saint Louise County Library, MO",5752996
"San Diego Public Library, CA",5602380
"Harris County Public Library, TX",5409433
"Pima County Public Library, AZ",5404382
"Hennepin County Library, MN",5392726
