Title (release date),Box office revenue in million U.S. dollars
Bohemian Rhapsody (2018),213.41
The Birdcage (1996),124.06
Interview with the Vampire (1994),105.26
The Imitation Game (2014),91.13
Brokeback Mountain (2005),83.04
The Talented Mr. Ripley (1999),81.3
Philadelphia (1993),77.45
In & Out (1997),63.08
The Crying Game (1992),62.55
Bruno (2009),60.05
The Hours (2002),41.68
"Love, Simon (2018)",40.83
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",36.47
Monster (2003),34.47
Alexander (2004),34.3
The Favourite (2018),32.33
Milk (2008),31.84
The Object of My Affection (1998),29.19
Rent (2005),29.08
Capote (2005),28.75
