Year,Unadjusted gross in million US dollars
2020 - The Eight Hundred,461.12
2019 - Avengers: Endgame,2797.8
2018 - Avengers: Infinity War,2048.36
2017 - Star Wars: Episode VIII - The Last Jedi,1332.54
2016 - Captain America: Civil War,1153.3
2015 - Star Wars: Episode VII - The Force Awakens,2068.22
2014 - Transformers: Age of Extinction,1104.05
2013 - Frozen,1274.22
2012 - The Avengers,1518.81
2011 - Harry Potter and the Deathly Hallows: Part 2,1341.93
2010 - Toy Story 3,1066.97
2009 - Avatar,2789.97
2008 - The Dark Knight,1004.93
2007 - Pirates if the Caribbean: At World's End,961.0
2006 - Pirates of the Caribbean: Dead Man's Chest,1066.18
2005 - Harry Potter and the Goblet of Fire,896.91
2004 - Shrek 2,923.08
2003 - The Lord of the Rings: The Return of the King,1120.42
2002 - The Lord of the Rings: The Two Towers,927.6
2001 - Harry Potter and the Sorcerer's Stone,978.09
2000 - Mission: Impossible II,546.39
1999 - Star Wars: Episode I - The Phantom Menace,1027.08
1998 - Armageddon,553.71
1997 - Titanic,2187.46
1996 - Independence Day,817.4
1995 - Die Hard: With a Vengeance,366.0
1994 - The Lion King,968.51
1993 - Jurassic Park,1030.31
1992 - Aladdin,504.05
1991 - Terminator 2: Judgement Day,520.0
1990 - Ghost,505.7
1989 - Indiana Jones and the Last Crusade,474.17
1988 - Rain Man,355.0
1987 - Fatal Attraction,320.0
1986 - Top Gun,357.0
1985 - Back to the Future,381.11
1984 - Indiana Jones and the Temple of Doom,333.0
1983 - Star Wars: Episode VI - Return of the Jedi,475.11
1982 - E.T. - The Extra Terrestrial,792.91
1981 - Raiders of the Lost Arc,389.93
1980 - Star Wars: Episode V - The Empire Strikes Back,547.88
1979 - Moonraker,210.0
1978 - Grease,394.96
1977 - Star Wars: Episode IV - A New Hope,775.51
1976 - Rocky,225.0
1975 - Jaws,470.65
1974 - Blazing Saddles,119.6
1973 - The Exorcist,428.21
1972 - The Godfather,268.5
1971 - Billy Jack,98.0
1970 - Love Story,136.4
1969 - Butch Cassidy and the Sundance Kid,102.31
1968 - Funny Girl* *,58.71
1967 - The Jungle Book,210.31
1966 - The Bible: In the Beginning...,34.9
1965 - The Sound of Music,286.21
1964 - Mary Poppins,102.28
1963 - Cleopatra,71.0
1962 - The Longest Day,39.1
1961 - 101 Dalmations,303.0
1960 - Swiss Family Robinson,40.36
1959 - Ben-Hur,73.26
1958 - South Pacific,36.82
1957 - The Bridge on the River Kwai,33.3
1956 - The Ten Commandments,90.07
1955 - Lady and the Tramp,187.0
1954 - White Christmas,30.0
1953 - Peter Pan,87.4
1952 - The Greatest Show on Earth,36.0
1951 - Quo Vadis?,21.0
1950 - Cinderella,95.13
1949 - Samson and Delilah,28.82
1948 - The Snake Pit* *,10.0
1947 - Forever Amber,16.0
1946 - Song of the South,37.46
1945 - The Bells of St. Mary's,21.3
1944 - Going My Way* *,16.3
1943 - This is the Army* *,20.83
1942 - Bambi,267.45
1941 - Sergeant York,16.36
1940 - Pinocchio,121.89
1939 - Gone With the Wind,402.35
1938 - Alexander's Ragtime Band,4.0
1937 - Snow White and the Seven Dwarfs,184.93
1936 - One in a Million* *,2.0
1935 - Top Hat,3.2
1934 - It Happened One Night,2.5
1933 - King Kong,10.0
1932 - Shanghai Express* *,8.07
1931 - Frankenstein* *,12.0
1930 - Tom Sawyer* *,11.0
1929 - The Broadway Melody,4.36
1928 - The Road to Ruin* *,2.5
1927 - The Jazz Singer,3.0
1926 - Aloma of the South Seas* *,6.54
1925 - The Big Parade,22.0
1924 - The Thief of Baghdad,4.36
1923 - The Covered Wagon,3.8
1922 - Robin Hood* *,5.45
1921 - The Four Horsemen of the Apocalypse,9.18
1920 - Way Down East* *,4.5
1919 - The Miracle Man* *,3.0
1918 - Mickey* *,17.2
1917 - A Romance of the Redwoods* *,0.42
1916 - Joan the Woman* *,1.32
1915 - The Birth of a Nation,11.0
