State,Number of burglaries
California,152555
Texas,113902
Florida,63396
North Carolina,54447
Ohio,43894
Georgia,39506
Washington,34540
Illinois,34433
Tennessee,29869
Arizona,28699
Michigan,28572
New York,27600
South Carolina,27461
Louisiana,26918
Oklahoma,26577
Missouri,26414
Alabama,26079
Pennsylvania,23354
Indiana,21795
Colorado,20064
Mississippi,18660
Arkansas,18095
Maryland,16862
New Jersey,16399
Minnesota,15927
Nevada,15510
Kentucky,15443
Oregon,14724
New Mexico,14610
Virginia,13900
Wisconsin,12667
Massachusetts,12341
Iowa,11710
Kansas,9984
Utah,8871
Connecticut,6441
West Virginia,5891
Hawaii,5340
Nebraska,4745
Idaho,3927
Alaska,3563
Delaware,2968
Montana,2887
South Dakota,2646
North Dakota,2608
Maine,2350
Rhode Island,2321
District of Columbia,1843
New Hampshire,1717
Wyoming,1396
Vermont,1275
