profession,Job openings in thousand
Retail salespersons,1958.7
Cashiers,1775.9
Waiters and waitresses,1324.3
Registered nurses,1207.4
"Combined food preparation and serving workers, including fast food",1146.5
"Office clerks, general",1011.5
"Laborers and freight, stock, and material moveers, hand",980.2
Customer service representatives,959.6
Home health aides,837.5
"Janitors and cleaners, except maids and housekeeping cleaners",682.0
Personal care aides,675.2
Childcare workers,665.8
Heavy and tractor-trailer truck drivers,649.4
Postsecondary teachers,586.1
First-line supervisors of office and administrative support workers,584.4
"Elementary schook teachers, except special education",573.2
Receptionists and information clerks,565.6
"Sales representatives, wholesale and manufacturing, except technical and scientific products",559.9
First-line supervisors of retail sales workers,513.7
"Nursing aides, orderlies and attendants",496.1
Teacher asssistants,481.6
"Bookkeeping, accounting and auditing clerks",467.8
Stock clerks and order fillers,465.0
Accountants and auditors,452.1
Landscaping and groundskeeping workers,444.4
General and operations managers,410.1
Carpenters,408.3
"Secretaries and administrative assistants, except legal, medical and executive",391.0
"Maintenance and repair workers, general",379.1
Food preparation workers,377.1
