Leading children's clothing recalls by manufacturer,Number of units recalled
Children's boots (Target),62600
Infant socks (Midwest-CBK),22600
Children's loungewear (Genexus dba Ragdoll & Rockets),14100
Children's Sleep Sacks (Gildan Activewear SRL),10600
Children's pajamas (H&M),9000
Infant sock and wrist sets (Maison Chic),7500
Children's sweatshirts (Hooey LLC),6600
Infant jackets (Amerex Group LLC),1550
Children's bathrobes (H&M),980
Boys' denim pants (J.Crew Group Inc.),900
Children's robes and pajama pants (Aegean Apparel),500
