ice hockey team,Facebook fans in millions
NHL - league account,4.66
Chicago Blackhawks,2.82
Boston Bruins,2.19
Pittsburgh Penguins,2.04
Detroit Red Wings,2.0
Montreal Canadiens,1.63
New York Rangers,1.52
Toronto Maple Leafs,1.37
Philadelphia Flyers,1.17
Vancouver Canucks,1.02
Los Angeles Kings,0.95
San Jose Sharks,0.94
Washington Capitals,0.8
St. Louis Blues,0.77
Colorado Avalanche,0.76
Minnesota Wild,0.67
Edmonton Oilers,0.58
Tampa Bay Lightning,0.56
Buffalo Sabres,0.5
New Jersey Devils,0.48
Dallas Stars,0.48
Anaheim Ducks,0.42
Nashville Predators,0.41
Winnipeg Jets,0.39
Calgary Flames,0.38
Ottawa Senators,0.33
Columbus Blue Jackets,0.32
New York Islanders,0.3
Arizona Coyotes,0.3
Carolina Hurricanes,0.29
Florida Panthers,0.2
