State,Number of registered automobiles
California,15065827
Texas,8248322
Florida,7966091
New York,4712779
Ohio,4603594
Illinois,4477763
Pennsylvania,4424183
Georgia,3557469
North Carolina,3393781
Virginia,3267735
Michigan,3023940
Washington,2964939
New Jersey,2754253
Arizona,2391772
Tennessee,2285329
Indiana***,2248870
Massachusetts**,2182530
Alabama,2161212
Missouri,2102216
Wisconsin,2087518
Minnesota,1976525
Maryland,1922463
South Carolina,1830186
Colorado,1798177
Kentucky,1721942
Oregon,1488623
Louisiana,1389249
Connecticut,1306709
Oklahoma,1296219
Iowa,1242219
Nevada,1073760
Kansas,975171
Utah,937421
Arkansas,921161
Mississippi,825338
Nebraska,683020
New Mexico,655766
Idaho,598774
West Virginia,560118
Hawaii,509492
New Hampshire,506959
Montana,452845
Delaware,433363
Rhode Island,412255
Maine,390506
South Dakota,358859
North Dakota,240048
Vermont,218302
Dist. of Col.,209723
Wyoming,203546
Alaska**,183270
