Year,GDP per capita in U.S. dollars
2025*,37249.81
2024*,36391.6
2023*,35278.14
2022*,33604.15
2021*,31531.63
2020*,30026.74
2019*,35664.03
2018,34583.83
2017,33543.0
2016,32390.98
2015,32154.95
2014,30299.73
2013,29836.14
2012,30433.06
2011,28906.98
2010,29303.27
2009,29296.5
2008,31248.61
2007,31894.4
2006,30908.21
2005,30269.04
2004,28239.08
2003,28043.47
2002,28477.07
2001,27060.52
2000,26669.44
1999,25780.48
1998,23300.81
1997,21951.77
1996,20974.54
1995,20271.26
1994,19660.93
1993,18979.02
1992,19417.23
1991,19767.72
1990,20456.27
1989,21814.32
1988,19683.62
1987,19326.12
1986,17850.62
1985,16797.77
