Month,Number of cases
Jan 3,2654779
Jan 2,2599789
Jan 1,2542065
Dec 31,2488780
Dec 30,2432888
Dec 29,2382865
Dec 28,2329730
Dec 27,2288345
Dec 26,2257844
Dec 25,2222153
Dec 24,2189428
Dec 23,2149551
Dec 22,2110314
Dec 21,2073511
Dec 20,2040147
Dec 19,2004219
Dec 18,1977167
Dec 17,1948660
Dec 16,1913277
Dec 15,1888116
Dec 14,1869666
Dec 13,1849403
Dec 12,1830956
Dec 11,1809455
Dec 10,1787783
Dec 9,1766819
Dec 8,1750241
Dec 7,1737960
Dec 6,1723242
Dec 5,1705971
Dec 4,1690432
Dec 3,1674134
Dec 2,1659256
Dec 1,1643086
Nov 30,1629657
Nov 29,1617327
Nov 28,1605172
Nov 27,1589301
Nov 26,1574562
Nov 25,1557007
Nov 24,1538794
Nov 23,1527495
Nov 22,1512045
Nov 21,1493383
Nov 20,1473508
Nov 19,1453256
Nov 18,1430341
Nov 17,1410732
Nov 16,1390681
Nov 15,1369318
Nov 14,1344536
Nov 13,1317496
Nov 12,1290195
Nov 11,1256725
Nov 10,1233775
Nov 9,1213363
Nov 8,1192013
Nov 7,1171441
Nov 6,1146484
Nov 5,1123197
Nov 4,1099059
Nov 3,1073882
Nov 2,1053864
Nov 1,1034914
Oct 31,1011660
Oct 30,989745
Oct 29,965340
Oct 28,942275
Oct 27,917575
Oct 26,894690
Oct 25,873800
Oct 24,854010
Oct 23,830998
Oct 22,810467
Oct 21,789229
Oct 20,762542
Oct 19,741212
Oct 18,722409
Oct 17,705428
Oct 16,689257
Oct 15,673622
Oct 14,654644
Oct 13,634920
Oct 12,617688
Oct 11,603716
Oct 10,590844
Oct 9,575679
Oct 8,561815
Oct 7,544275
Oct 6,530113
Oct 5,515571
Oct 4,502978
Oct 3,480017
Oct 2,467146
Oct 1,460178
Sep 30,453264
Sep 29,446156
Sep 28,439013
Sep 27,434969
Sep 26,429277
Sep 25,423236
Sep 24,416363
Sep 23,409729
Sep 22,403551
Sep 21,398625
Sep 20,394257
Sep 19,390358
Sep 18,385936
Sep 17,381614
Sep 16,378219
Sep 15,374228
Sep 14,371125
Sep 13,368504
Sep 12,365174
Sep 11,361677
Sep 10,358138
Sep 9,355219
Sep 8,352560
Sep 7,350100
Sep 6,347152
Sep 5,344164
Sep 4,342351
Sep 3,340411
Sep 2,338676
Sep 1,337168
Aug 31,335873
Aug 30,334467
Aug 29,332752
Aug 28,331644
Aug 27,330368
Aug 26,328846
Aug 25,327798
Aug 24,326614
Aug 23,325761
Aug 22,324601
Aug 21,323313
Aug 20,322280
Aug 19,321098
Aug 18,320286
Aug 17,319197
Aug 16,318484
Aug 15,317444
Aug 14,316367
Aug 13,314927
Aug 12,313798
Aug 11,312789
Aug 10,311641
Aug 9,310825
Aug 8,309763
Aug 7,309005
Aug 6,308134
Aug 5,307184
Aug 4,306293
Aug 3,305623
Aug 2,304695
Aug 1,303952
Jul 31,303181
Jul 30,302301
Jul 29,301455
Jul 28,300692
Jul 27,300111
Jul 26,299426
Jul 25,298681
Jul 24,297914
Jul 23,297146
Jul 22,296377
Jul 21,295817
Jul 20,295372
Jul 19,294792
Jul 18,294066
Jul 17,293239
Jul 16,292552
Jul 15,291911
Jul 14,291373
Jul 13,290133
