State,Annual cost in thousand U.S. dollars
District of Columbia,24.08
Massachusetts,20.88
California,16.45
Minnesota,16.12
New Jersey,15.6
Colorado,15.6
Connecticut,15.6
Maryland,15.4
New York,15.03
Washington,14.84
Virginia,14.56
Maine,14.25
Hawaii,14.1
Illinois,13.76
Oregon,13.52
New Hampshire,13.04
Kansas,12.58
Wisconsin,12.55
Vermont,12.51
Indiana,12.39
Nebraska,12.27
Alaska,11.83
Pennsylvania,11.56
Delaware,11.37
Nevada,11.11
Rhode Island,10.96
Arizona,10.82
Iowa,10.74
Michigan,10.29
Ohio,10.01
Utah,10
Missouri,9.88
Texas,9.86
Florida,9.31
North Carolina,9.25
North Dakota,9.18
New Mexico,9.14
South Carolina,9.1
Wyoming,9.1
Tennessee,9.02
Oklahoma,8.94
Georgia,8.73
Idaho,8.64
Louisiana,8.58
West Virginia,8.03
Kentucky,7.44
Alabama,7.28
Arkansas,6.44
Mississippi,5.76
South Dakota *,-
Montana *,-
