Response,Share of respondents
Advertising,10.4%
Brand management,25.05%
Budget,26.33%
Business growth,33.33%
Content marketing,33.55%
Customer engagement/loyalty,26.54%
Customer experience,18.9%
Data and analytics,33.97%
Executive buy-in,14.44%
Innovation,14.44%
Lead generation,29.09%
Marketing technology/automation,23.99%
Metrics/performance measurement,29.94%
Mobile,18.47%
Organizational structure/integration,15.92%
Personal career development,22.08%
Pricing/distribution,6.79%
Product development,6.79%
Research,7.43%
Sales/marketing alignment,17.62%
SEO,18.26%
Social media,23.35%
Staffing,15.29%
Strategic planning,24.2%
Targeting/segmentation/personalization,25.05%
Website/digital,28.87%
