Response,Share of Italian citizens belonging to religious minorities
Muslims,20.9%
Jehovah's Witnesses (and analogous),20.5%
Protestants,19.2%
Orthodox Christians,16%
Buddhists,10.3%
Hindus and neo-Hindus,2.4%
Jews,1.8%
Human potential groups,1.5%
Mormons (and analogous),1.4%
"""Fringe"" and dissident Roman Catholics",1.2%
"Sikhs, Radha Swami and derivative groups",1%
Organized New Age and Next Age groups,1%
"Esoteric and ""ancient wisdom"" groups",0.8%
Other Christian creeds,0.4%
Other oriental groups,0.3%
New Japanese Religions,0.2%
Baha'is and other religions of Islamic inspiration,0.2%
Osho and derivative groups,0.2%
Other,0.7%
