Year,Number of reported cases
1980,0
1979,0
1978,2
1977,3234
1976,954
1975,19278
1974,218367
1973,135859
1972,65153
1971,52806
1970,33706
1969,54202
1968,80024
1967,131697
1966,92650
1965,112228
1964,77295
1963,133791
1962,98759
1961,90588
1960,67127
1959,96571
1958,280475
1957,156652
1956,96089
1955,91823
1954,99232
1953,94135
1952,167085
1951,554756
1950,426006
1949,632858
1948,161893
1947,163375
1946,302694
1945,405833
1944,407525
1943,210358
1942,124504
1941,195863
1940,235820
1939,186393
1938,144042
1937,149184
1936,263579
1935,331151
1934,327373
1933,328212
1932,211274
1931,182829
1930,360575
1929,267322
1928,272529
1927,327289
1926,324125
1925,284845
1924,186354
1923,174799
1922,190159
1921,303850
1920,401318
