family medicine physician,Median gross charges in U.S. dollars
Diagnostic Radiology (M.D.s interventional),2366223
Diagnostic Radiology (M.D.s non-interventional),2181076
Orthopedic surgery,2013979
Gastroenterology,1925073
Ophthalmology,1901428
Urology,1795229
Cardiac & thoracic surgery,1663247
Dermatology,1649366
Otolaryngology,1605445
Cardiology (invasive),1496641
Anesthesiology,1342339
General surgery,1316116
Cardiology,1298288
Obstetricians/gynecologists - general,1266715
Emergency medicine,1017726
Pulmonary disease,1003779
Nephrology,967052
Pediatrics (general),873546
Rheumatology,845886
Neurology,816409
Internal medicine,739067
Family medicine,732661
Hematology & medical oncology,684264
Endocrinology,669768
Psychiatry,489583
Hospitalist - internal medicine,460709
