Year,Inhabitants in millions
2020,17407585
2019,17282163
2018,17181084
2017,17081507
2016,16979120
2015,16900726
2014,16829289
2013,16779575
2012,16730348
2011,16655799
2010,16574989
2009,16485787
2008,16405399
2007,16357992
2006,16334210
2005,16305526
2004,16258032
2003,16192572
2002,16105285
2001,15987075
2000,15863950
1999,15760225
1998,15654192
1997,15567107
1996,15493889
1995,15424122
1994,15341553
1993,15239182
1992,15129150
1991,15010445
1990,14892574
1989,14805240
1988,14714948
1987,14615125
1986,14529430
1985,14453833
1984,14394589
1983,14339551
1982,14285829
1981,14208586
1980,14091014
1979,13985526
1978,13897874
1977,13814495
1976,13733578
1975,13599092
1974,13491020
1973,13387623
1972,13269563
1971,13119430
1970,12957621
1969,12798346
1968,12661095
1967,12535307
1966,12377194
1965,12212269
1964,12041970
1963,11889962
1962,11721416
1961,11556008
1960,11417254
1959,11278024
1958,11095726
1957,10957040
1956,10821661
1955,10680023
1954,10550737
1953,10435631
1952,10328343
1951,10200280
1950,10026773
