neighborhood,Year-over year change in bookings
"Chūō-ku in Osaka, Japan","7,000%"
"Banglampoo in Bangkok, Thailand","1,230%"
"Brickfields, Kuala Lumpur, Malaysia","1,200%"
"Capucins in Bordeaux, France",960%
"Koukaki in Athens, Greece",800%
"Triana in Seville, Spain",770%
"Hammerbrook in Hamburg, Germany",415%
"Kaneohe on Oahu, United States",320%
"Meireles in Fortaleza, Brazil",285%
"Roma Sur in Mexico City, Mexico",275%
"Oak Lawn in Dallas, U.S.",260%
"Poncey-Highland in Atlanta, GA",240%
"District VII in Budapest, Hungary",145%
"The Bukit Peninsula, Bali",130%
"Richmond in Melbourne, Australia",126%
"Constitución in Buenos Aires, Argentina",125%
