Month,Price in GBP per kilogram
Nov '19,0.97
Oct '19,1.01
Sep '19,1.14
Aug '19,1.38
Jul '19,1.76
Jun '19,1.03
May '19,0.98
Apr '19,0.96
Mar '19,0.92
Feb '19,0.98
Jan '19,1.05
Dec '18,1.12
Nov '18,1.29
Oct '18,1.31
Sep '18,1.36
Aug '18,1.44
Jul '18,1.15
Jun '18,0.77
May '18,0.71
Apr '18,0.78
Mar '18,0.77
Feb '18,0.8
Jan '18,0.83
Dec '17,0.84
Nov '17,0.92
Oct '17,0.83
Sep '17,0.95
Aug '17,1.05
Jul '17,1.17
Jun '17,0.97
May '17,0.94
Apr '17,0.92
Mar '17,0.92
Feb '17,0.94
Jan '17,0.97
Dec '16,0.97
Nov '16,1.0
Oct '16,0.98
Sep '16,1.21
Aug '16,1.51
Jul '16,1.59
Jun '16,1.06
May '16,1.17
Apr '16,0.92
Mar '16,0.86
Feb '16,0.86
Jan '16,0.86
Dec '15,0.89
Nov '15,0.93
Oct '15,1.04
Sep '15,1.1
Aug '15,1.14
Jul '15,0.96
Jun '15,0.82
May '15,0.76
Apr '15,0.78
Mar '15,0.77
Feb '15,0.8
Jan '15,0.78
