Month,Cumulative number of samples tested
Apr 29,24952
Apr 28,23980
Apr 27,23271
Apr 26,22954
Apr 25,22360
Apr 24,21941
Apr 23,21334
Apr 22,20821
Apr 21,20252
Apr 20,19756
Apr 19,19351
Apr 18,18774
Apr 17,18029
Apr 16,17400
Apr 15,16745
Apr 14,16235
Apr 13,15683
Apr 12,14989
Apr 11,14163
Apr 10,13339
Apr 9,12710
Apr 8,11986
Apr 7,11232
Apr 6,10716
Apr 5,10221
Apr 4,9744
Apr 3,9139
Apr 2,8456
Apr 1,7965
Mar 31,7485
Mar 30,6691
Mar 29,6690
Mar 28,6067
Mar 27,5679
Mar 26,5342
Mar 25,4902
Mar 24,4516
Mar 23,4291
Mar 22,4035
Mar 21,3716
Mar 20,3436
Mar 19,2921
Mar 18,2550
Mar 17,2467
Mar 16,2297
Mar 15,2147
Mar 14,1897
Mar 13,1715
Mar 12,1377
Mar 11,1179
Mar 10,980
Mar 9,807
Mar 8,729
Mar 7,682
Mar 6,631
Mar 5,574
Mar 4,552
Mar 3,520
Mar 2,504
Mar 1,488
Feb 29,485
Feb 28,471
Feb 27,462
Feb 26,460
Feb 25,451
Feb 24,449
Feb 23,444
Feb 22,441
Feb 21,437
Feb 20,433
Feb 19,432
Feb 18,425
Feb 17,423
Feb 16,418
Feb 15,415
Feb 14,408
Feb 13,402
Feb 12,389
Feb 11,380
Feb 10,364
Feb 9,345
Feb 8,330
Feb 7,285
Feb 6,263
Feb 5,223
Feb 4,190
Feb 3,140
Feb 2,104
Feb 1,39
