Response,Percentage of healthcare professionals
Fear of connection to autism spectrum disorder,77%
Concerns about added ingredients in vaccines,71%
Worry child will suffer other complications from vaccine,70%
"Worries about ""overwhelming"" infant's immune system",56%
Distrust of pharmaceutical industry,44%
Believe child will get illness from vaccine,41%
Pain/stress of multiple injections for child,37%
Believe naturally acquired immunity preferable,32%
Religious or political belief,31%
Doubt about vaccine efficacy,23%
Cost/lack of insurance coverage for vaccines,8%
