Metropolitan statistical area,"Rate per 100,000 population"
"Anchorage, AK",178.4
"Rapid City, SD",129.3
"Danville, IL",121.2
"Fairbanks, AK",116.1
"St. Joseph, MO-KS",115.6
"Niles, MI",109.5
"Lincoln, NE",106.4
"Jackson, MI",102.4
"Jonesboro, AR",99.5
"Gainesville, FL",93.7
"Springfield, MO",92.5
"Odessa, TX",92.4
"Altoona, PA",91.2
"Lubbock, TX",88.9
"Lansing-East Lansing, MI",88.8
"Victoria, TX",88.3
"Watertown-Fort Drum, NY",86.8
"Casper, WY",85.5
"Wichita Falls, TX",85.2
"Kalamazoo-Portage, MI",85.0
"Carson City, NV",84.7
"Lawton, OK",83.9
"Fort Smith, AR-OK",82.9
"Bismarck, ND",80.7
"Battle Creek, MI",80.6
"Grand Rapids-Kentwood, MI",79.4
"Grand Island, NE",79.1
"San Antonio-New Braunfels, TX",78.5
"Chico, CA",78.0
"Colorado Springs, CO",77.8
"Lima, OH",77.4
"Enid, OK",77.3
"New Orleans-Metairie, LA",76.6
"Bay City, MI",75.6
"Glens Falls, NY",75.6
"Mansfield, OH",75.5
"Wichita, KS",74.0
"Missoula, MT",73.5
"Muskegon, MI",73.3
"Las Vegas-Henderson-Paradise, NV",73.2
"Amarillo, TX",72.9
"Corpus Christi, TX",72.9
"Little Rock-North Little Rock-Conway, AR",72.6
"Binghamton, NY",72.0
"Salt Lake City, UT",71.3
"Tallahassee, FL",71.0
"Springfield, IL",70.3
"Midland, MI",69.9
"Champaign-Urbana, IL",69.8
"Eau Claire, WI",69.7
