Response,Share of respondents
Never need to log onto public Wi-Fi again,48%
Lightning-fast browsing,48%
Download content 10x faster,37%
Better quality of video calls,27%
Stream UHD & 360° videos,21%
Instant cloud access,21%
Rich mobile information,19%
Share/transfer files instantly,19%
Remote office with wire-like connectivity,19%
Instant apps no download/install,18%
Social media live sharing in UHD,16%
Seamless screen mirroring,14%
Next-gen VR experience,14%
Interactive/graphics-intensive gaming,14%
Mobile AR services,12%
