bank,Total assets in trillion U.S. dollars
Industrial & Commercial Bank of China Limited (China),4.32
China Construction Bank Corporation (China),3.65
Agricultural Bank of China Limited (China),3.57
Bank of China Limited (China),3.27
BNP Paribas SA (France),2.43
China Development Bank (China),2.35
JPMorgan Chase Bank National Association (U.S.),2.34
MUFG Bank (Japan),2.22
Credit Agricole SA (France),1.98
Japan Post Bank Co Ltd (Japan),1.95
Bank of America National Association (U.S.),1.85
Sumitomo Mitsui Financial Group (Japan),1.72
Wells Fargo Bank National Association (U.S.),1.71
Banco Santander SA (Spain),1.71
Muzuho Bank Ltd (Japan),1.55
