State,"Rate per 100,000 inhabitants"
Alaska,148.7
Arkansas,77.2
South Dakota,72.6
Michigan,72.4
Nevada,70.2
Colorado,67.2
Nebraska,64.8
New Mexico,61.4
Montana,58.4
Oklahoma,57.3
North Dakota,57.3
Utah,56.8
Wyoming,56.0
Hawaii,54.0
Texas,51.1
Arizona,50.3
Ohio,49.0
Louisiana,48.9
District of Columbia,48.9
Kansas,48.6
Illinois,48.0
South Carolina,47.8
Missouri,47.5
Rhode Island,46.3
Idaho,45.3
Vermont,44.6
Washington,43.8
Minnesota,43.4
New Hampshire,43.4
United States,42.6
Oregon,42.2
Alabama,42.2
West Virginia,42.1
Tennessee,41.2
Florida,39.4
Wisconsin,38.8
Maine,38.4
California,37.5
Iowa,36.9
Indiana,36.8
Kentucky,35.2
Pennsylvania,34.0
New York,33.8
Virginia,33.0
Massachusetts,32.0
Delaware,31.8
Maryland,31.6
North Carolina,31.0
Georgia,27.5
Mississippi,25.1
Connecticut,21.6
New Jersey,17.2
