NAICS Category,Number of jobs
Health care and social assistance,69855
Retail trade,57990
Public administration,45720
Educational services,42895
Accommodation and food services,39980
Manufacturing,31240
Construction,29670
"Professional, scientific and technical services",24765
"Administrative and support, waste management and remediation services",24055
Other services (except public administration),22095
Transportation and warehousing,16115
Wholesale trade,14705
Finance and insurance,13835
"Agriculture, forestry, fishing and hunting",12790
Real estate and rental and leasing,8255
"Arts, entertainment and recreation",7490
Information and cultural industries,6730
Utilities,2720
"Mining, quarrying, and oil and gas extraction",1555
Holding companies,1080
