Billionaire,Wealth in billion U.S. dollars
Jeff Bezos (United States),113.0
Bill Gates (United States),98.0
Bernard Arnault & family (France),76.0
Warren Buffet (United States),67.5
Larry Ellison (United States),59.0
Armancio Ortega (Spain),55.1
Mark Zuckerberg (United States),54.7
Jim Walton (United States),54.6
Alice Walton (United States),54.4
"S. Robson ""Rob"" Walton (United States)",54.1
Steve Ballmer (United States),52.7
Carlos Slim Helú & family (Mexico),52.1
Larry Page (United States),50.9
Sergey Brin (United States),49.1
Francoise Bettencourt Meyers & family (France),48.9
Michael Bloomberg (United States),48.0
Jack Ma (China),38.8
Charles Koch (United States),38.2
Julia Koch & family (United States),38.2
Ma Huateng (China),38.1
Mukesh Ambani (India),36.8
MacKenzie Bezos (United States,36.0
Beate Heister & Karl Albrecht Jr. (Germany),33.3
David Thomson & family (France),31.6
Phil Knight (United States),29.5
