Year,Gross domestic product per capita U.S. dollars
2025*,103005.71
2024*,100277.31
2023*,96480.21
2022*,94004.04
2021*,90357.8
2020*,81867.46
2019,82483.93
2018,83158.27
2017,80764.92
2016,80628.39
2015,82513.63
2014,87159.83
2013,85675.76
2012,83958.55
2011,88903.38
2010,74884.83
2009,70321.9
2008,72941.18
2007,63959.84
2006,57801.08
2005,55115.31
2004,53446.73
2003,48284.64
2002,41554.55
2001,38715.76
2000,37993.8
1999,40642.24
1998,41547.91
1997,40469.55
1996,46764.51
1995,48833.74
1994,41996.76
1993,38242.33
1992,39686.86
1991,38655.81
1990,38660.03
1989,30545.68
1988,31881.4
1987,29646.52
1986,23816.31
1985,16694.34
