Response,Percentage of binge drinkers
District of Columbia,26.3%
Wisconsin,25%
Iowa,23.7%
South Dakota,23.2%
North Dakota,22.8%
Massachusetts,22.4%
Nebraska,22.3%
Minnesota,21.8%
Hawaii,21.3%
Colorado,20.8%
Illinois,20.4%
Montana,20.1%
Michigan,19.5%
Maine,19.4%
Missouri,19.2%
Wyoming,19%
Connecticut,19%
Louisiana,18.8%
Texas,18.7%
Pennsylvania,18.6%
Rhode Island,18.6%
Vermont,18.5%
New York,18.4%
Oregon,18.4%
New Hampshire,18.3%
United States,18.2%
Florida,18.2%
Delaware,18.1%
Alaska,17.7%
California,17.6%
Indiana,17.5%
Arizona,17.2%
Kansas,17.1%
Nevada,17%
Ohio,17%
Virginia,16.9%
South Carolina,16.7%
Washington,16.5%
Idaho,16.5%
North Carolina,16.4%
Georgia,16.1%
Kentucky,15.9%
Arkansas,15.8%
New Mexico,15.7%
Tennessee,15.7%
New Jersey,15.2%
Maryland,14.6%
Oklahoma,14%
Alabama,13.8%
Mississippi,13.8%
West Virginia,12.6%
Utah,11.3%
