Response,Share of respondents
Avoiding opening emails from unknown email addresses,45%
Disclosing less personal information online,41%
Avoiding certain internet sites,40%
Using antivirus software,36%
Changing your password regularly,33%
Avoiding certain web applications,32%
Cutting down on the amount of biographically accurate information you divulge online,29%
Self-censoring what you say online,21%
Changing who you communicate with,15%
Doing fewer financial transactions online,15%
Making fewer online purchases,12%
"Closing Facebook and other social media accounts, etc.",11%
Using the Internet less often,8%
None of these,16%
