Largest cruise ships,Length in feet
Harmony of the Seas (Royal Caribbean - 2016),1188
Allure of the Seas (Royal Caribbean - 2010),1187
Oasis of the Seas (Royal Caribbean - 2009),1187
Quantum of the Seas (Royal Caribbean - 2014),1141
Anthem of the Seas (Royal Caribbean - 2015),1141
Ovation of the Seas (Royal Caribbean - 2016),1138
Queen Mary 2 (Cunard - 2004),1130
Disney Fantasy (Disney Cruise Line - 2012),1115
Liberty of the Seas (Royal Caribbean - 2007),1112
Freedom of the Seas (Royal Caribbean - 2006),1112
Independence of the Seas (Royal Caribbean - 2008),1112
MSC Preziosa (MSC Cruises - 2013),1093
Britannia (P&O Cruises - 2015),1083
Royal Princess (Princess Cruises - 2013),1083
Regal Princess (Princess Cruises - 2014),1083
MSC Divina (MSC Cruises - 2012),1083
MSC Fantasia (MSC Cruises - 2008),1083
MSC Splendida (MSC Cruises - 2009),1083
Norwegian Epic (Norwegian Cruise Line - 2010),1081
Norwegian Escape (Norwegian Cruise Line - 2015),1069
