Response,Share of respondents
Browsing the internet,93%
E-mail,87%
Using search engines,85%
Researching products/services,82%
Purchasing products,81%
Making payment,77%
Accessing bank/financial accounts,73%
Accessing social networking sites,60%
Watching videos/TV,49%
Using maps/navigators,47%
Redeeming coupons,44%
Streaming/ downloading video/TV,44%
Streaming/downloading music/audio,44%
Making Internet/video calls,35%
Taking/Viewing pictures,34%
Using instant messaging,27%
Using applications,23%
Managing health/fitness,17%
Sending/receiving text messages,6%
Making/shooting videos,5%
None of these,1%
Don't know,1%
