Year,GDP per capita in U.S. dollars
2025*,3742.06
2024*,3541.17
2023*,3402.95
2022*,3394.77
2021*,3380.08
2020*,3295.45
2019,3292.59
2018,3411.13
2017,3451.72
2016,3665.68
2015,3829.5
2014,4274.47
2013,4198.85
2012,4137.58
2011,4256.84
2010,4140.49
2009,4131.02
2008,4308.48
2007,3778.38
2006,3371.54
2005,3194.48
2004,3112.91
2003,2762.05
2002,2345.99
2001,2254.91
2000,2213.95
1999,2388.99
1998,2295.19
1997,2210.81
1996,2299.38
1995,2156.45
1994,1903.85
1993,1814.88
1992,1973.45
1991,1687.19
1990,1636.64
1989,1386.02
1988,1411.51
1987,1382.41
1986,1312.23
1985,1271.85
