State,Number of People
California,4159031
Texas,4041891
Florida,3556473
New York,3170465
Illinois,2040053
Georgia,1948189
Ohio,1824675
Pennsylvania,1784790
Michigan,1775646
North Carolina,1703700
Tennessee,1342089
Washington,1113441
Arizona,1111105
Virgin Islands,940932
Louisiana,940100
Missouri,929943
Indiana,926011
Alabama,915322
Massachusetts,887619
New Jersey,876266
South Carolina,875866
Kentucky,872439
Wisconsin,856730
Oregon,817575
Maryland,771021
Mississippi,668624
Oklahoma,621831
Minnesota,552928
Colorado,507934
Arkansas,504621
New Mexico,440362
Connecticut,425320
Iowa,420344
Nevada,360953
West Virginia,350695
Kansas,316983
Utah,251626
Maine,249119
Idaho,227006
Hawaii,189350
Rhode Island,179925
Nebraska,179711
Delaware,153137
District of Columbia,144889
Montana,128531
New Hampshire,117315
South Dakota,104052
Vermont,100541
Alaska,91364
North Dakota,56523
Guam,45554
Wyoming,38046
Virginia,27436
